id,ts_code,trade_date,close,open,high,low,pre_close,change,pct_chg,vol,amount
0,000001.SH,19980105,1220.473,1200.948,1220.495,1200.222,1194.102,26.371,2.2084,4371532,5363527.591
1,000001.SH,19980106,1233.62,1223.73,1233.635,1215.409,1220.473,13.147,1.0772,5148664,6196189.071
2,000001.SH,19980107,1244.07,1233.956,1244.098,1231.146,1233.62,10.45,0.8471,5756557,6276869.435
3,000001.SH,19980108,1237.164,1243.121,1250.005,1235.885,1244.07,-6.906,-0.5551,4069472,4535351.177
4,000001.SH,19980109,1239.901,1233.701,1244.999,1221.297,1237.164,2.737,0.2212,5357096,6395907.455
5,000001.SH,19980112,1226.966,1242.21,1246.651,1226.397,1239.901,-12.935,-1.0432,5739689,6646772.084
6,000001.SH,19980113,1167.647,1211.883,1211.883,1110.087,1226.966,-59.319,-4.8346,7194435,8983543.992
7,000001.SH,19980114,1202.215,1170.346,1203.247,1170.322,1167.647,34.568,2.9605,5703800,6237845.479
8,000001.SH,19980115,1215.431,1210.421,1217.864,1196.148,1202.215,13.216,1.0993,5539255,5643742.275
9,000001.SH,19980116,1213.962,1215.82,1220.974,1207.919,1215.431,-1.469,-0.1209,4120326,4534913.232
10,000001.SH,19980119,1213.129,1215.408,1216.987,1205.479,1213.962,-0.833,-0.0686,3262038,3662318.127
11,000001.SH,19980120,1203.715,1211.276,1215.57,1195.382,1213.129,-9.414,-0.776,3129378,3443180.129
12,000001.SH,19980121,1200.203,1201.988,1209.689,1198.228,1203.715,-3.512,-0.2918,3032972,2739035.347
13,000001.SH,19980122,1204.43,1200.521,1207.451,1194.383,1200.203,4.227,0.3522,4361254,4027799.049
14,000001.SH,19980123,1222.913,1206.495,1224.122,1206.454,1204.43,18.483,1.5346,3580684,3378707.424
15,000001.SH,19980209,1248.04,1257.995,1262.623,1244.426,1222.913,25.127,2.0547,4358584,4617527.387
16,000001.SH,19980210,1236.513,1248.596,1248.596,1233.698,1248.04,-11.527,-0.9236,5324563,4834391.864
17,000001.SH,19980211,1250.238,1234.181,1251.453,1233.53,1236.513,13.725,1.11,4815520,4262613.892
18,000001.SH,19980212,1246.295,1253.385,1254.411,1241.996,1250.238,-3.943,-0.3154,4749077,4545818.351
19,000001.SH,19980213,1245.911,1246.733,1251.912,1241.824,1246.295,-0.384,-0.0308,4097735,4452571.304
20,000001.SH,19980216,1236.236,1246.796,1247.965,1230.918,1245.911,-9.675,-0.7765,4615358,4970755.932
21,000001.SH,19980217,1238.5,1234.837,1240.579,1228.111,1236.236,2.264,0.1831,3525859,3717914.709
22,000001.SH,19980218,1229.831,1239.633,1240.178,1225.497,1238.5,-8.669,-0.7,4614067,4675451.206
23,000001.SH,19980219,1232.584,1229.809,1235.493,1223.932,1229.831,2.753,0.2239,3300714,3345370.639
24,000001.SH,19980220,1226.02,1234.601,1237.915,1224.584,1232.584,-6.564,-0.5325,3159234,3200611.869
25,000001.SH,19980223,1208.603,1217.859,1217.859,1195.888,1226.02,-17.417,-1.4206,3807533,3921520.683
26,000001.SH,19980224,1208.218,1206.925,1216.353,1206.09,1208.603,-0.385,-0.0319,3526684,3246038.09
27,000001.SH,19980225,1194.673,1208.524,1209.491,1191.751,1208.218,-13.545,-1.1211,3428467,3325572.702
28,000001.SH,19980226,1206.674,1193.003,1206.674,1189.519,1194.673,12.001,1.0045,3147775,3223861.099
29,000001.SH,19980227,1206.53,1209.442,1213.729,1202.865,1206.674,-0.144,-0.0119,3582150,3607948.393
30,000001.SH,19980302,1188.306,1196.742,1205.746,1182.612,1206.53,-18.224,-1.5104,4843155,4824057.544
31,000001.SH,19980303,1201.789,1186.52,1201.8,1185.303,1188.306,13.483,1.1346,3561297,3497563.83
32,000001.SH,19980304,1213.253,1204.945,1214.003,1201.254,1201.789,11.464,0.9539,3595148,4065636.029
33,000001.SH,19980305,1207.541,1217.851,1219.284,1206.372,1213.253,-5.712,-0.4708,3223419,3570224.514
34,000001.SH,19980306,1206.452,1208.749,1208.978,1202.124,1207.541,-1.089,-0.0902,3085020,3304971.693
35,000001.SH,19980309,1200.834,1207.959,1208.616,1197.569,1206.452,-5.618,-0.4657,3091094,3486186.308
36,000001.SH,19980310,1199.832,1199.625,1205.832,1186.551,1200.834,-1.002,-0.0834,2980644,3271175.309
37,000001.SH,19980311,1190.037,1201.262,1210.525,1187.442,1199.832,-9.795,-0.8164,3655966,4330453.692
38,000001.SH,19980312,1178.97,1187.538,1188.282,1175.554,1190.037,-11.067,-0.93,2504100,2586090.632
39,000001.SH,19980313,1184.961,1177.817,1184.961,1176.005,1178.97,5.991,0.5082,2331528,2449195.692
40,000001.SH,19980316,1188.482,1186.186,1188.617,1179.44,1184.961,3.521,0.2971,3018911,3361364.418
41,000001.SH,19980317,1202.835,1193.668,1202.839,1193.239,1188.482,14.353,1.2077,3733760,4211386.246
42,000001.SH,19980318,1193.909,1204.103,1204.741,1191.906,1202.835,-8.926,-0.7421,3622608,4012765.18
43,000001.SH,19980319,1188.715,1192.397,1195.829,1184.871,1193.909,-5.194,-0.435,3359438,3477551.244
44,000001.SH,19980320,1187.501,1188.595,1192.323,1183.247,1188.715,-1.214,-0.1021,2789824,2931556.11
45,000001.SH,19980323,1179.869,1186.561,1186.861,1178.044,1187.501,-7.632,-0.6427,3610322,3843850.626
46,000001.SH,19980324,1194.017,1180.093,1194.056,1179.973,1179.869,14.148,1.1991,3519725,3649985.581
47,000001.SH,19980325,1191.553,1207.616,1209.766,1188.853,1194.017,-2.464,-0.2064,4125855,4565068.13
48,000001.SH,19980326,1188.865,1191.001,1193.816,1186.223,1191.553,-2.688,-0.2256,4520501,4470460.561
49,000001.SH,19980327,1223.565,1189.409,1223.928,1188.855,1188.865,34.7,2.9188,6828855,7179516.493
50,000001.SH,19980330,1249.435,1230.944,1249.443,1228.299,1223.565,25.87,2.1143,7296184,7862277.912
51,000001.SH,19980331,1243.016,1251.343,1252.242,1238.644,1249.435,-6.419,-0.5138,6091676,6380874.729
52,000001.SH,19980401,1254.965,1243.373,1255.01,1240.058,1243.016,11.949,0.9613,6222174,6704315.092
53,000001.SH,19980402,1269.015,1259.593,1285.032,1259.583,1254.965,14.05,1.1196,10312029,10971261.31
54,000001.SH,19980403,1286.084,1268.569,1286.107,1266.032,1269.015,17.069,1.3451,7910901,8314567.179
55,000001.SH,19980406,1306.378,1291.614,1306.383,1286.43,1286.084,20.294,1.578,10207026,10166655.18
56,000001.SH,19980407,1303.14,1308.556,1310.288,1296.542,1306.378,-3.238,-0.2479,16278826,8076861.431
57,000001.SH,19980408,1322.793,1303.408,1322.828,1302.413,1303.14,19.653,1.5081,14139193,10762974.65
58,000001.SH,19980409,1297.225,1326.444,1328.789,1288.888,1322.793,-25.568,-1.9329,15117022,11900294.89
59,000001.SH,19980410,1311.514,1294.617,1311.528,1293.588,1297.225,14.289,1.1015,14626799,9246628.405
60,000001.SH,19980413,1318.748,1319.945,1326.295,1311.832,1311.514,7.234,0.5516,12145809,10267522.48
61,000001.SH,19980414,1313.721,1318.274,1320.909,1304.375,1318.748,-5.027,-0.3812,8553116,6656103.427
62,000001.SH,19980415,1324.707,1314.165,1324.707,1314.068,1313.721,10.986,0.8363,9554503,6992299.36
63,000001.SH,19980416,1316.246,1324.037,1326.424,1312.565,1324.707,-8.461,-0.6387,9441175,7941408.663
64,000001.SH,19980417,1298.107,1311.544,1311.73,1291.081,1316.246,-18.139,-1.3781,8786014,7251757.48
65,000001.SH,19980420,1296.005,1292.162,1302.982,1286.585,1298.107,-2.102,-0.1619,7377140,6776031.021
66,000001.SH,19980421,1305.223,1296.772,1307.856,1295.058,1296.005,9.218,0.7113,6563455,5654055.298
67,000001.SH,19980422,1332.182,1307.832,1333.066,1307.832,1305.223,26.959,2.0655,7902049,7337908.982
68,000001.SH,19980423,1324.559,1337.489,1340.252,1321.04,1332.182,-7.623,-0.5722,10653131,7752375.446
69,000001.SH,19980424,1315.167,1324.455,1331.855,1313.609,1324.559,-9.392,-0.7091,9704622,7782672.907
70,000001.SH,19980427,1310.378,1314.35,1318.797,1303.482,1315.167,-4.789,-0.3641,11064606,7534817.88
71,000001.SH,19980428,1332.99,1315.346,1333.09,1315.328,1310.378,22.612,1.7256,9589329,7375241.767
